PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"What is a characteristic of the maintenance of a materialized view?","A. Materialized views cannot be refreshed automatically.","B. An additional set of scripts is needed to refresh data in materialized views.","C. A materialized view is automatically refreshed by a Snowflake managed warehouse.","D. A materialized view can be set up with the auto-refresh feature using the SQL SET command.","","","C"
"Which command should be used to implement a masking policy that was already created in Snowflake?","A. ALTER MASKING POLICY","B. APPLY MASKING POLICY","C. CREATE MASKING POLICY","D. SET MASKING POLICY  ","","","D"
"A Snowflake user runs a query for 36 seconds on a size 2XL virtual warehouse.What would be the credit consumption?","A. Snowflake will charge for 36 seconds at the rate of 32 credits per hour.","B. Snowflake will charge for 36 seconds at the rate of 64 credits per hour.","C. Snowflake will charge for 60 seconds at the rate of 32 credits per hour.","D. Snowflake will charge for 60 seconds at the rate of 64 credits per hour.","","","C"
"Which statement accurately describes a characteristic of a materialized view?","A. A materialized view can query only a single table.  ","B. Data accessed through materialized views can be stale.","C. Materialized view refreshes need to be maintained by the user.","D. Querying a materialized view is slower than executing a query against the base table of the view.","","","A"
"The use of which Snowflake table type will reduce costs when working with ETL workflows?","A. External","B. Permanent","C. Temporary  ","D. Transient","","","C"
"A user wants to unload data from a relational table into a CSV file in an external stage. The table must be named exactly as specified by the user.Which file format option MUST be used to do this?","A. encoding","B. escape","C. file_extension","D. single  ","","","D"
"Which account usage view in Snowflake can be used to identify the most-frequently accessed tables?","A. Access_History  ","B. Object_Dependencies","C. Table_Storage_Metrics","D. Tables","","","A"
"What metadata does Snowflake store concerning all rows stored in a micro-partition? (Choose two.)","A. A count of the number of total values in the micro-partition","B. The range of values for each partition in the micro-partition","C. The range of values for each of the rows in the micro-partition","D. The range of values for each of the columns in the micro-partition","E. The number of distinct values for each column in the micro-partition","","D,E"
"What role has the privileges to create and manage data shares by default?","A. ACCOUNTADMIN","B. SECURITYADMIN","C. SYSADMIN","D. USERADMIN","","","A"
"Which function determines the kind of value stored in a VARIANT column?","A. CHECK_JSON","B. IS_ARRAY","C. IS_JSON","D. TYPEOF","","","D"
"What operation can be performed using Time Travel?","A. Restoring tables that have been dropped from a data share","B. Extending a permanent table’s retention duration from 90 to 100 days","C. Creating a clone of an entire table at a specific point in the past from a permanent table","D. Disabling Time Travel for a specific object by setting DATA_RETENTION_TIME_IN_DAYS to NULL","","","C"
"What are characteristics of Snowflake directory tables? (Choose two.)","A. Directory tables are separate database objects.","B. Directory tables can only be used with an external stage.","C. Directory tables contain copies of staged files in binary format.","D. Directory tables store file-level metadata about the data files in a stage.","E. A directory table can be added to a stage when the stage is created, or later.","","D,E"
"What does the VARIANT data type impose a 16 MB size limit on?","A. All rows","B. All columns","C. Individual rows","D. Individual columns","","","C"
"Which activities are included in the Cloud Services layer? (Choose two.)","A. Data storage","B. Dynamic data masking","C. Partition scanning","D. User authentication  ","E. Infrastructure management  ","","D,E"
"What does the “percentage scanned from cache” represent in the Query Profile?","A. The percentage of data scanned from the query cache","B. The percentage of data scanned from the result cache","C. The percentage of data scanned from the remote disk cache","D. The percentage of data scanned from the local disk cache  ","","","D"
"Which role has the ability to create a share from a shared database by default?","A. ACCOUNTADMIN","B. SECURITYADMIN","C. SYSADMIN","D. ORGADMIN","","","A"
"Which object-level parameters can be set to help control query processing and concurrency? (Choose two).","A. MAX_CONCURRENCY_LEVEL","B. DATA_RETENTION_TIME_IN_DAYS","C. MIN_DATA_RETENTION_TIME_IN_DAYS","D. STATEMENT_TIMEOUT_IN_SECONDS  ","E. STATEMENT_QUEUED_TIMEOUT_IN_SECONDS  ","","D,E"
"What metadata does Snowflake store for rows in micro-partitions? (Choose two.)","A. Range of values","B. Distinct values","C. Index values","D. Sorted values","E. Null values","","A,B"
"What are valid sub-clauses to the OVER clause for a window function? (Choose two.)","A. GROUP BY","B. LIMIT","C. ORDER BY  ","D. PARTITION BY  ","E. UNION ALL","","C,D"
"Which kind of Snowflake table stores file-level metadata for each file in a stage?","A. Directory","B. External","C. Temporary","D. Transient","","","A"
"Which privileges apply to stored procedures? (Choose two.)","A. MODIFY","B. MONITOR","C. OPERATE","D. OWNERSHIP","E. USAGE","","D,E"
"What column type does a Kafka connector store formatted information in a single column?","A. ARRAY","B. OBJECT","C. VARCHAR","D. VARIANT","","","D"
"If a size Small virtual warehouse costs two credits per hour, what is the credit cost per hour of a size Large virtual warehouse?","A. 4","B. 8","C. 16","D. 32","","","B"
"Which SQL command will list the files in a named stage?","A. list @~;","B. get @%mytable;","C. list @my_stage;","D. get @my_stage;","","","C"
"What is the effect of configuring a virtual warehouse auto-suspend value to ‘0’?","A. The warehouse will never suspend.","B. The warehouse will suspend immediately upon work completion.","C. The warehouse will not resume automatically.","D. All clusters in the multi-cluster warehouse will resume immediately.","","","A"
"Which data types can be used in Snowflake to store semi-structured data? (Choose two.)","A. ARRAY  ","B. BLOB","C. CLOB","D. JSON","E. VARIANT  ","","A,E"
"While attempting to avoid data duplication, which COPY INTO  option should be used to load files with expired load metadata?","A. LOAD_UNCERTAIN_FILES  ","B. FORCE","C. VALIDATION_MODE","D. LAST_MODIFIED","","","A"
"What service is provided as an integrated Snowflake feature to enhance Multi-Factor Authentication (MFA) support?","A. Duo Security  ","B. OAuth","C. Okta","D. Single Sign-On (SSO)","","","A"
"What is the impact on queries that are being executed when a resource monitor set to the “Notify & Suspend” threshold level is exceeded?","A. All statements being executed are queued.","B. All statements being executed are restarted.","C. All statements being executed are cancelled.","D. All statements being executed are completed.  ","","","D"
"What tasks can an account administrator perform in the Data Exchange? (Choose two.)","A. Add and remove members.  ","B. Delete data categories.","C. Approve and deny listing approval requests.  ","D. Transfer listing ownership.","E. Transfer ownership of a provider profile.","","A,C"
"Which types of subqueries does Snowflake support? (Choose two.)","A. Uncorrelated scalar subqueries in WHERE clauses","B. Uncorrelated scalar subqueries in any place that a value expression can be used","C. EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be uncorrelated only","D. EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be correlated only","E. EXISTS, ANY / ALL, and IN subqueries in WHERE clauses: these subqueries can be correlated or uncorrelated","","B,E"
"How can network and private connectivity security be managed in Snowflake?","A. By setting up network policies with IPv4 IP addresses","B. By putting the Snowflake URL on the allowed list for get method responses","C. By manually setting up vulnerability patch management policies","D. By manually setting up an Intrusion Prevention System (IPS) on each account","","","A"
